"Additional Info","Información Adicional"
"Advanced Search","Búsqueda avanzada"
"Advanced Search Form","Formulario de búsqueda avanzada"
"Advanced Search Result","Resultados de búsqueda avanzada"
"Catalog Advanced Search","Búsqueda de catálogo avanzada"
"Catalog Search Index","Índice de búsqueda del catálogo"
"Enter search keyword","Introduce la palabra clave de búsqueda"
"Go","Ir"
"Popular Search Terms","Términos de búsqueda populares"
"Quick Search Form","Formulario de búsquda rápida"
"Search","Buscar"
"Search Settings","Ajustes de búsqueda"
"Search results for '%s'","Resultados de búsqueda para '%s'"
"Search site:","Buscar en el sitio:"
"Subscribe to Feed","Suscribirse al Feed"
"Your search returns no results.","La búsqueda no da ningún resultado."
