"-- Please Select --","-- Seleccionar, por favor --"
"Action","Acción"
"Add URL Redirect","Agregar redirección de URL"
"An error occurred during deleting the redirect item.","Se ha producido un error al eliminar el elemento de redirección."
"An error occurred while saving the URL redirect.","Se ha producido un error al guardar la redirección de URL."
"Back","Volver"
"Block Information","Información de bloque"
"Custom","Personalizado"
"Description","Descripción"
"Edit","Editar"
"ID","ID"
"Index URL rewrites","Reescrituras de URL índice"
"No","No"
"Only alphanumeric characters and ""_"" (underscore) symbol is allowed for the ""URL Suffix""","Solo se permiten caracteres alfanuméricos y el símbolo ""_"" (guion bajo) en el ""sufijo de la URL"""
"Options","Opciones"
"Permanent (301)","Permanente (301)"
"Priority for Duplicated URL Keys","Priority for Duplicated URL Keys"
"Redirect","Redirect"
"Redirect Rules","Reglas de redirección"
"Redirect Type","Tipo de redirección"
"Redirect URL Rewrite","Reescritura de redirección de URL"
"Redirect item has been deleted.","Se ha eliminado el elemento de redirección."
"Redirect item has been saved.","El elemento de redirección se ha guardado."
"Redirect item not found.","Elemento de redirección no encontrado."
"Request Path","Solicitud de ruta"
"Requires full page cache refresh to take effect.","Requires full page cache refresh to take effect."
"Select URL Redirect Type","Seleccione el tipo de redirección de URL"
"Store","Store"
"Store View","Store View"
"Target Path","Ruta objetivo"
"Temporary (302)","Temporal (302)"
"Type","Tipo"
"URL Redirect","Redirección de la URL"
"URL Redirect Information","Información de la redirección de URL"
"URL Redirect Management","Administración de redirecciones de URL"
"URL Redirect has been deleted.","URL Redirect has been deleted."
"URL Redirect with same Request Path already exists.","Ya existe una redirección de URL con la misma ruta de solicitud."
"URL Redirect with same Request Path and Store already exists.","URL Redirect with same Request Path and Store already exists."
"URL Redirects","Redirecciones de URL"
