"""Order"" authorizations are not implemented. Please use ""simple"" authorization.","« Autorisations » de commande non implémentées. Veuillez utiliser une autorisation « simple »."
"3D Secure Card Validation","Validation de carte sécurité 3D"
"3D Secure Check will be unavailable if CIM enabled.","La vérification 3D Secure sera indisponible si CIM est désactivé."
"3D secure authentication passed.","3D secure authentication passed."
"Accepted Currency","Devise acceptée"
"Account holder","Account holder"
"Account number","Account number"
"Austria","Austria"
"Authorization","Autorisation"
"Authorization transaction is required to void.","Autorisation de transaction requise pour annuler"
"Authorize Only","Autoriser uniquement"
"Authorize and Capture","Autoriser et saisir"
"Bank code","Bank code"
"Braintree","Braintree"
"Business","Business"
"Continue","Continue"
"Corporate","Corporate"
"Credit Cards","Cartes de crédit"
"Cybersource (SOAP Toolkit)","Cybersource (Boîte à outils SOAP)"
"DIBS Payment Services","Services de paiement DIBS"
"Data Transfer Key","Clé de transfert de données"
"Debug","Débogage"
"Direct Sale","Vente directe"
"Empty response received from Payment Bridge.","Réponse vide reçue de Payment Bridge."
"Enable 3D Secure Card Validation in Admin","Enable 3D Secure Card Validation in Admin"
"Enable 3D Secure Card Validation on Frontend","Enable 3D Secure Card Validation on Frontend"
"Enable CIM","Activer CIM"
"Enable Vault","Activer le coffre"
"Enabled","Activé"
"First Data Global Gateway Web Service API","Première API de service web de passerelle de données globales"
"Gateway Basic URL","Passerelle"
"Germany","Germany"
"Gives effect only when payment bridge is active.","Valide uniquement lorsque passerelle de paiement active."
"IPN postback HTTP error: %s","Erreur IPN postback HTTP: %s"
"IPN postback Validation error: %s","Erreur de validation IPN postback: %s"
"IPN verification ""%s"".","IPN verification ""%s""."
"If enabled, the Payone payment method will not be available for placing the orders from the backend.","If enabled, the Payone payment method will not be available for placing the orders from the backend."
"If enabled, the WorldPay payment method will not be available for placing the orders  from the backend.","If enabled, the WorldPay payment method will not be available for placing the orders  from the backend."
"Impossible to issue a refund transaction, because capture transaction does not exist.","Impossible de procéder au remboursement de la transaction, car la transaction n'existe pas."
"Magento Unique Identifier","Identifiant Magento unique"
"Maximum data transfer key length is 32. Please correct your settings.","La longueur maximale pour un transfert de données est de 32. Veuillez corriger vos paramètres."
"Merchant Code","Code marchant"
"Merchant Key","Clé marchant"
"Merchant review is required for further processing.","La revue du marchand est nécessaire pour continuer."
"My Credit Card profiles","Mes profils de cartes de crédit"
"My Credit Cards","Mes cartes de crédit"
"Netherlands","Netherlands"
"Note: %s","Note: %s"
"Notified customer about invoice #%s.","Notified customer about invoice #%s."
"Ogone Credit Card","Ogone Credit Card"
"Ogone Direct Debit","Ogone Direct Debit"
"Ogone Direct Link","Lien direct Ogone"
"Optional. Used in case of multiple Magento instances use the same Payment Bridge merchant account (Merchant Code).","Optionnel. Utilisé si plusieurs instances de Magenta utilisent le même compte marchand Payment Bridge (Code Marchand)."
"Order has been canceled.","Order has been canceled."
"Original gateway transaction id: #%s.","Passerelle originelle identifiant de la transaction :  #%s"
"PSi Gate","Passerelle PSi"
"Pay Now","Payer maintenant"
"Paybox Direct","Direct boîte de paiement"
"Payflow PNREF: #%s.","Payflow PNREF: #%s."
"Payment Action","Action de paiement"
"Payment Bridge","Passerelle de paiement"
"Payment Bridge Selected","Passerelle de paiement sélectionnée"
"Payment Bridge authentication data is not present","Données d'authentification de la passerelle de paiement absentes"
"Payment Method Code is not passed.","Code de méthode de paiement refusé."
"Payment from Applicable Countries","Paiement depuis les pays applicables"
"Payment from Specific Countries","Paiement depuis les pays spécifiques"
"Payment gateway internal error.","Passerelle de paiement : erreur interne"
"Payone Direct Debit","Payone Direct Debit"
"Payone.de","Payone.de"
"Please agree to all the terms and conditions before placing the order.","Veuillez accepter toutes les conditions générales avant de passer la commande."
"Please do not refresh the page until you complete payment.","Merci de ne pas actualiser cette page avant la finalisation du paiement."
"Preauthorization","Preauthorization"
"Reload Form","Reload Form"
"Sage Pay Direct","Paiement direct Sage"
"Sale","Vente"
"Sort Order","Trier la commande"
"Test Mode","Mode test"
"This payment method will work only if the Payment Bridge is enabled and configured correctly.","Cette méthode de paiement fonctionnera uniquement si le Pont de paiement est activé et configuré correctement."
"Title","Titre"
"Unable to cancel order.","Unable to cancel order."
"Unable to communicate with Payment Bridge service.","Impossible de communiquer avec le service Passerelle de paiement"
"Use via Payment Bridge","Utiliser via la passerelle de paiment"
"Worldpay","Worldpay"
"Wrong Order ID (%s) specified.","Wrong Order ID (%s) specified."
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">here</a> .","Vos informations de paiement ont été envoyées au serveur. Si vous avez besoin d'effectuer des modifications, veuillez cliquer <a style=""color: #1E75B4""href=""#"">ici</a>"
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> .","Vos informations de paiement ont été envoyées au serveur. Si vous avez besoin d'effectuer des modifications, veuillez cliquer <a style=""color: #1E75B4""href=""#"">ici</a>"
"eWAY Direct","eWAY Direct"
