"%s order(s) have been archived.","%s order(s) zijn gearchiveerd."
"%s order(s) have been removed from archive.","%s order(s) zijn uit het archief verwijdert."
"Add","Toevoegen"
"Archive","Archief"
"Archive Orders Purchased","Archief Orders Gekocht"
"Column not found","Kolom niet gevonden"
"Credit Memos","Creditnota's"
"Credit Memos Archive","Kredietmemo's archief"
"Enable Archiving","Archivering in staat stellen"
"Go to Archive (%s orders)","Ga naar Archief (%s orders)"
"Invoices","Facturen"
"Invoices Archive","Facturen Archief"
"Mass Add","Massaal toevoegen"
"Move to Archive","Verplaats naar Archief"
"Move to Order Managment","Verplaats naar Order Beheer"
"Move to Orders Management","Verplaats naar Order Beheer"
"Order Statuses to be Archive","Order Statussen om te archiveren"
"Orders","Bestellingen"
"Orders Archive","Bestellings Archief"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, facturen, verzendingen, kredietnota's archivering"
"Please specify order id to be archived.","Omschrijf bestellings id om te worden gearchiveerd."
"Please specify order id to be removed from archive.","Omchrijf bestellings id om te verwijderen van archief."
"Positioning column not found","Kolom positionering niet gevonden"
"Restore from Archive","Herstellen vanuit Archief"
"Sales Archive","Verkoop Archief"
"Selected order(s) cannot be archived.","Geselecteerde order(s) kan/kunnen niet worden gearchiveerd."
"Shipments","Zendingen"
"Shipments Archive","Zendingen Archief"
"Table not found","Tabel niet gevonden"
"The order has been archived.","De bestelling is gearchiveerd."
"The order has been removed from the archive.","De bestelling is verwijdert van het archief."
"There are %s orders in archive. All of them will be moved to regular table after archive is disabled.","Er zijn %s orders in het archief. Ieder van hen zal worden verplaatst naar reguliere tabel nadat archief is uitgeschakeld."
