"Action","actie"
"Add New Search Term","Voeg nieuwe zoekterm toe"
"Display in Suggested Terms","Laat zien in Mogelijke Voorwaarden"
"Edit","Bewerk"
"Enable Search Recommendations","Stel Zoek Aanbevelingen in staat"
"Enable Search Suggestions","Stel Zoek Suggesties in staat"
"Enable Solr Engine for Catalog Navigation","Stel Solr Engine voor Catalogus Navigatie in staat"
"Engine autocommit","Motor automatisch doorvoeren"
"Final commit","Finaal doorvoeren"
"ID","identiteit"
"Indexation Mode","Indexeringsmodus"
"MySql Fulltext","MySql Fulltext"
"No","Nee"
"Note: Enabling this option affects the performance.","Let op: het aanzetten van deze optie beïnvloedt de prestaties."
"Note: Partial commit mode affects time of indexation, but allows indexed products to be visible on the frontend before indexation is completed.","Let op: partiële doorvoeringsmodus beïnvloedt de indexeringstijd, maar laat geïndexeerde producten zichtbaar zijn in het frontend voordat de indexering voltooid is."
"Number of Uses","Aantal toepassingen"
"Partial commit","Gedeeltelijk doorvoeren"
"Redirect","Doorsturen"
"Related Search Terms","Verwante Zoektermen"
"Results","Resultaten"
"Search Engine","Zoekmachine"
"Search Query","Zoekopdracht"
"Search Recommendations Count","Zoek Aanbevelings Telling"
"Search Suggestions Count","Zoeksuggesties Telling"
"Show Results Count for Each Recommendation","Toon resultaten telling voor elke aanbeveling"
"Show Results Count for Each Suggestion","Toon resultaten telling voor elke suggestie"
"Solr","Solr"
"Solr Server Hostname","Solr Server Hostnaam"
"Solr Server Password","Solr Server Wachtwoord"
"Solr Server Path","Solr Server Pad"
"Solr Server Port","Solr Server Poort"
"Solr Server Timeout","Solr Server Time-out"
"Solr Server Username","Solr Server Gebruikersnaam"
"Store","Winkel"
"Synonym For","Synoniem voor"
"Test Connection","Test Connectie"
"Unable to perform search because of search engine missed configuration.","Niet in staat om te zoeken vanwege gemiste configuratie zoekmachine."
"Without starting and trailing slashes.","Zonder starting and trailing slashes."
"Yes","Ja"
