"-- Please Select --","-- Selecteer alstublieft --"
"Action","Actie"
"Add URL Redirect","Voeg URL Redirect toe"
"An error occurred during deleting the redirect item.","Er is een fout opgetreden tijdens het verwijderen van het redirect item."
"An error occurred while saving the URL redirect.","Er is een fout opgetreden tijdens het opslaan van de URL redirect."
"Back","Terug"
"Block Information","Blok Informatie"
"Custom","Zelfgekozen"
"Description","Beschrijving"
"Edit","Bewerken"
"ID","ID"
"Index URL rewrites","Index URL herschrijvingen"
"No","Nee"
"Only alphanumeric characters and ""_"" (underscore) symbol is allowed for the ""URL Suffix""","Alleen alfanumerieke tekens en ""_"" (underscore) symbool is toegestaan ​​voor de ""URL Suffix"""
"Options","Opties"
"Permanent (301)","Permanent (301)"
"Priority for Duplicated URL Keys","Priority for Duplicated URL Keys"
"Redirect","Redirect"
"Redirect Rules","Redirect Regels"
"Redirect Type","Redirect Type"
"Redirect URL Rewrite","Redirect URL Rewrite"
"Redirect item has been deleted.","Redirect item is verwijderd."
"Redirect item has been saved.","Redirect item is opgeslagen."
"Redirect item not found.","Redirect item niet gevonden."
"Request Path","Vraag Pad op"
"Requires full page cache refresh to take effect.","Requires full page cache refresh to take effect."
"Select URL Redirect Type","Selecteer URL Redirect Type"
"Store","Store"
"Store View","Store View"
"Target Path","Doelpad"
"Temporary (302)","Tijdelijk (302)"
"Type","Type"
"URL Redirect","URL redirect"
"URL Redirect Information","URL Redirect Informatie"
"URL Redirect Management","URL Redirect Beheer"
"URL Redirect has been deleted.","URL Redirect has been deleted."
"URL Redirect with same Request Path already exists.","URL Redirect met hetzelfde verzoek Pad bestaat reeds."
"URL Redirect with same Request Path and Store already exists.","URL Redirect with same Request Path and Store already exists."
"URL Redirects","URL Redirects"
