"(Allow)","(Permitir)"
"(Config)","(Configuração)"
"(Deny)","(Recusar)"
"-- Please Select --","-- Please Select --"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Aviso!</strong> Por padrão esta função restringe todas as categorias."
"A permission with the same scope already exists.","Uma permissão com o mesmo propósito já existe."
"Add to Cart","Adicionar ao carrinho"
"All Customer Groups","All Customer Groups"
"All Websites","All Websites"
"Allow","Allow"
"Allow Adding to Cart","Permitir adicionar ao carrinho"
"Allow Browsing Category","Permitir categoria de navegação"
"Browsing Category","Categoria de navegação"
"Catalog Permissions","Permissões do catálogo"
"Category Permissions","Permissões da categoria"
"Category Permissions Section","Seção de permissões da categoria"
"Customer Group","Customer Group"
"Customer Groups","Grupos do cliente"
"Deny","Deny"
"Disallow Catalog Search By","Desativar a pesquisa no catálogo por"
"Display Product Prices","Exibir preços dos produtos"
"Enable","Ativar"
"Landing Page","Página de entrada"
"New Permission","Nova permissão"
"No","Não"
"No, Redirect to Landing Page","Não, redirecionar para a Página de entrada"
"Permission with the same scope","Permissão com o mesmo propósito"
"Permissions do not depend on store views.","Permissions do not depend on store views."
"Remove Permission","Remover permissão"
"The product ""%s"" cannot be added to cart.","Não é possível adicionar o produto ""%s"" ao carrinho."
"Use parent","Use parent"
"Website","Website"
"Yes, for Everyone","Sim, para todos"
"Yes, for Specified Customer Groups","Sim, para Grupos de cliente específicos"
"You have no permissions to access this category","Você não tem permissão para acessar essa categoria"
"You have no permissions to access this product","Você não tem permissão para acessar esse produto"
