"Action","Ação"
"Change Index Mode","Alterar Modo de Indexação"
"Description","Descrição"
"Enable Scheduled Cleanup","Ativar limpeza agendada"
"Frequency","Freqüência"
"Index","Índice"
"Index Clean Schedule","Indexar agenda limpa"
"Index Management","Gerenciamento de Índice"
"Index Options","Opções do índice"
"Index mode","Modo de Índice"
"Mode","Modo"
"Never","Nunca"
"Processing","Processando"
"Ready","Pronto"
"Reindex Data","Reindexar Dados"
"Reindex Required","Obrigatório Reindexar"
"Scheduled","Agendado"
"Start Time","Tempo de Início"
"Status","Status"
"Unable to save the cron expression.","Impossível salvar a expressão cron."
"Update Required","Atualização necessária"
"Update on Save","Atualização em Salvar"
"Update when scheduled","Atualizar quando agendado"
"Updated At","Atualizado Em"
